tag,full_designation,description,order_no,category,x_mm,y_mm,z_mm,width_mm,height_mm,depth_mm,mounting,zone,dimension_basis,engineering_status,top_clearance_mm,bottom_clearance_mm,side_clearance_mm,heat_loss_w,controlled_physical,notes
-X101:21,=FC01+CP01-X101:21,Terminal for FILL_VALVE_1_OPEN_CMD / +24VDC switched,,Terminal,366.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C015 core 1; wire W0050
-X101:22,=FC01+CP01-X101:22,Terminal for FILL_VALVE_1_OPEN_CMD / 0V,,Terminal,372.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C015 core 2; wire W0051
-X101:23,=FC01+CP01-X101:23,Terminal for FILL_VALVE_2_OPEN_CMD / +24VDC switched,,Terminal,379.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C016 core 1; wire W0055
-X101:24,=FC01+CP01-X101:24,Terminal for FILL_VALVE_2_OPEN_CMD / 0V,,Terminal,385.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C016 core 2; wire W0056
-X102:1,=FC01+CP01-X102:1,Terminal for GATE_OPEN_CMD / +24VDC switched,,Terminal,392.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C017 core 1; wire W0060
-X102:2,=FC01+CP01-X102:2,Terminal for GATE_OPEN_CMD / 0V,,Terminal,398.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C017 core 2; wire W0061
-X102:3,=FC01+CP01-X102:3,Terminal for GATE_CLOSE_CMD / +24VDC switched,,Terminal,405.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C017 core 3; wire W0065
-X102:4,=FC01+CP01-X102:4,Terminal for GATE_CLOSE_CMD / 0V,,Terminal,411.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C017 core 4; wire W0066
-X102:5,=FC01+CP01-X102:5,Terminal for CLAMP_ENGAGE_CMD / +24VDC switched,,Terminal,418.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C018 core 1; wire W0070
-X102:6,=FC01+CP01-X102:6,Terminal for CLAMP_ENGAGE_CMD / 0V,,Terminal,424.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C018 core 2; wire W0071
-X102:7,=FC01+CP01-X102:7,Terminal for CLAMP_RELEASE_CMD / +24VDC switched,,Terminal,431.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C018 core 3; wire W0075
-X102:8,=FC01+CP01-X102:8,Terminal for CLAMP_RELEASE_CMD / 0V,,Terminal,437.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C018 core 4; wire W0076
-X102:9,=FC01+CP01-X102:9,Terminal for CAPPER_REQUEST / +24VDC switched,,Terminal,444.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C012 core 7; wire W0080
-X102:10,=FC01+CP01-X102:10,Terminal for CAPPER_REQUEST / 0V,,Terminal,450.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C012 core 8; wire W0081
-X102:11,=FC01+CP01-X102:11,Terminal for STACK_GREEN / +24VDC switched,,Terminal,457.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C019 core 1; wire W0085
-X102:12,=FC01+CP01-X102:12,Terminal for STACK_GREEN / 0V,,Terminal,463.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C019 core 2; wire W0086
-X102:13,=FC01+CP01-X102:13,Terminal for STACK_AMBER / +24VDC switched,,Terminal,470.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C019 core 3; wire W0090
-X102:14,=FC01+CP01-X102:14,Terminal for STACK_AMBER / 0V,,Terminal,476.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C019 core 4; wire W0091
-X102:15,=FC01+CP01-X102:15,Terminal for STACK_RED / +24VDC switched,,Terminal,483.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C019 core 5; wire W0095
-X102:16,=FC01+CP01-X102:16,Terminal for STACK_RED / 0V,,Terminal,489.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C019 core 6; wire W0096
-X102:17,=FC01+CP01-X102:17,Terminal for AUDIBLE_ALARM / +24VDC switched,,Terminal,496.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C019 core 7; wire W0100
-X102:18,=FC01+CP01-X102:18,Terminal for AUDIBLE_ALARM / 0V,,Terminal,502.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C019 core 8; wire W0101
-X102:19,=FC01+CP01-X102:19,Terminal for CAMERA_LIGHT_ENABLE / +24VDC switched,,Terminal,509.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C020 core 1; wire W0105
-X102:20,=FC01+CP01-X102:20,Terminal for CAMERA_LIGHT_ENABLE / 0V,,Terminal,515.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C020 core 2; wire W0106
-X102:21,=FC01+CP01-X102:21,Terminal for FLOW_1_MA_RAW / 4-20mA,,Terminal,522.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C021 core 1; wire W0107
-X102:22,=FC01+CP01-X102:22,Terminal for FLOW_1_MA_RAW / +24VDC fused,,Terminal,528.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C021 core 2; wire W0108
-X102:23,=FC01+CP01-X102:23,Terminal for FLOW_1_MA_RAW / 0V analog,,Terminal,535.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C021 core 3; wire W0109
-X102:24,=FC01+CP01-X102:24,Terminal for FLOW_1_MA_RAW / FE,,Terminal,541.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C021 core SH; wire W0110
-X103:1,=FC01+CP01-X103:1,Terminal for FLOW_2_MA_RAW / 4-20mA,,Terminal,548.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C022 core 1; wire W0111
-X103:2,=FC01+CP01-X103:2,Terminal for FLOW_2_MA_RAW / +24VDC fused,,Terminal,554.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C022 core 2; wire W0112
-X103:3,=FC01+CP01-X103:3,Terminal for FLOW_2_MA_RAW / 0V analog,,Terminal,561.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C022 core 3; wire W0113
-X103:4,=FC01+CP01-X103:4,Terminal for FLOW_2_MA_RAW / FE,,Terminal,567.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C022 core SH; wire W0114
-X103:5,=FC01+CP01-X103:5,Terminal for FLOW_1_PULSE / 24 V pulse,,Terminal,574.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C021 core 4; wire W0115
-X103:6,=FC01+CP01-X103:6,Terminal for FLOW_1_PULSE / 0V,,Terminal,580.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C021 core 5; wire W0116
-X103:7,=FC01+CP01-X103:7,Terminal for FLOW_2_PULSE / 24 V pulse,,Terminal,587.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C022 core 4; wire W0117
-X103:8,=FC01+CP01-X103:8,Terminal for FLOW_2_PULSE / 0V,,Terminal,593.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Cable C022 core 5; wire W0118
-X24:+24V,=FC01+CP01-X24:+24V,Terminal for X24:+24V / +24VDC,,Terminal,600.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Unassigned logical terminal; cable/core/wire allocation open
-X0:0V,=FC01+CP01-X0:0V,Terminal for X0:0V / 0V,,Terminal,606.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Unassigned logical terminal; cable/core/wire allocation open
-X0:MANA,=FC01+CP01-X0:MANA,Terminal for X0:MANA / 0V analog,,Terminal,613.0,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Unassigned logical terminal; cable/core/wire allocation open
-SC100:1,=FC01+CP01-SC100:1,Terminal for SC100:1 / FE,,Terminal,619.5,90,26,6,50,50,DIN rail R4,Field termination,6 mm generic terminal-envelope assumption; terminal family not selected,"CONTROLLED LOGICAL TERMINAL; family, conductor size and accessories open",0,0,0,TBD,True,Unassigned logical terminal; cable/core/wire allocation open
-PE100:1,=FC01+CP01-PE100:1,Reserved protective-earth terminal,,Terminal,640.0,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:2,=FC01+CP01-PE100:2,Reserved protective-earth terminal,,Terminal,646.5,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:3,=FC01+CP01-PE100:3,Reserved protective-earth terminal,,Terminal,653.0,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:4,=FC01+CP01-PE100:4,Reserved protective-earth terminal,,Terminal,659.5,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:5,=FC01+CP01-PE100:5,Reserved protective-earth terminal,,Terminal,666.0,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:6,=FC01+CP01-PE100:6,Reserved protective-earth terminal,,Terminal,672.5,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:7,=FC01+CP01-PE100:7,Reserved protective-earth terminal,,Terminal,679.0,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:8,=FC01+CP01-PE100:8,Reserved protective-earth terminal,,Terminal,685.5,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:9,=FC01+CP01-PE100:9,Reserved protective-earth terminal,,Terminal,692.0,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:10,=FC01+CP01-PE100:10,Reserved protective-earth terminal,,Terminal,698.5,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:11,=FC01+CP01-PE100:11,Reserved protective-earth terminal,,Terminal,705.0,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-PE100:12,=FC01+CP01-PE100:12,Reserved protective-earth terminal,,Terminal,711.5,90,26,6,50,50,DIN rail R4,PE termination,6 mm PE terminal-envelope assumption; count and family provisional,PROVISIONAL — final PE/bonding schedule and sizing required,0,0,0,TBD,True,
-SC100,=FC01+CP01-SC100,Analog/encoder shield-clamp reserve,,Device,720,90,26,15,50,55,DIN rail R4 / shield bar,Shield termination,Controlled generic shield-clamp envelope,"PROVISIONAL — clamp family, cable diameters and EMC termination method open",0,0,0,TBD,True,
-PE100,=FC01+CP01-PE100,Copper protective-earth bar reserve,,Infrastructure,80,45,18,640,15,15,Mounting plate,PE,Controlled provisional bar envelope; section and fixing hardware open,"TBD — PE sizing, bonding points and fault-current basis required",0,0,0,TBD,True,
-H100,=FC01+CP01-H100,MTP700 Unified Comfort body,6AV2128-3GB06-0AX1,Door device,300.85,329,241.4,198.3,142,55.6,Door cutout,HMI,Official Siemens envelope/cutout: outer 214 x 158 x 63.6 mm; cutout 198.3 x 142 mm,SELECTED BASELINE — native WinCC project/compile and door reinforcement open,0,0,0,TBD,True,
-QS100,=FC01+CP01-QS100,Door-coupled main isolator body envelope,,Door device,75,660,217,70,90,80,Door coupled,Mains / door,Controlled generic envelope; device not selected,"TBD — supply, fault current, handle/shaft and regulatory basis required",0,0,0,TBD,True,
-ZONE_MAINS_DRIVES,=FC01+CP01-ZONE_MAINS_DRIVES,Mains and drive zone,,Segregation,70,175,18.2,180,535,1,Non-physical visualization,Mains and drive zone,Revision-E layout zoning,NON-PHYSICAL DESIGN INTENT,0,0,0,TBD,False,
-ZONE_CONTROL,=FC01+CP01-ZONE_CONTROL,PLC and 24 VDC control zone,,Segregation,285,225,18.2,335,485,1,Non-physical visualization,PLC and 24 VDC control zone,Revision-E layout zoning,NON-PHYSICAL DESIGN INTENT,0,0,0,TBD,False,
-ZONE_NETWORK_VISION,=FC01+CP01-ZONE_NETWORK_VISION,Network and vision zone,,Segregation,620,225,18.2,120,485,1,Non-physical visualization,Network and vision zone,Revision-E layout zoning,NON-PHYSICAL DESIGN INTENT,0,0,0,TBD,False,
-ZONE_TERMINATION,=FC01+CP01-ZONE_TERMINATION,Field terminal and PE zone,,Segregation,70,45,18.2,670,125,1,Non-physical visualization,Field terminal and PE zone,Revision-E layout zoning,NON-PHYSICAL DESIGN INTENT,0,0,0,TBD,False,
-FAN100-RESERVED,=FC01+CP01-FAN100-RESERVED,Non-physical cooling-solution reserve on right enclosure wall,,Clearance,797,360,110,1,160,160,Non-physical wall reserve,Thermal,160 mm controlled reserve only; cooling solution not selected,"TBD — thermal model, ambient, ingress protection and filter/fan selection required",0,0,0,TBD,False,
